# file	id	text
# local_data.dat	DST_EXAMPLE	这里填写人工修订后的简中文本
# local_sync_data.dat	DST_EXAMPLE	这里填写人工修订后的简中文本
# table_text_all_data.rdf	0:1015	炫耀
# table_quest_text_data.rdf	1	这里填写人工修订后的任务文本
table_text_all_data.rdf	3:7000215:0	Natsu Dragneel Outfit	纳兹灭龙外套
table_text_all_data.rdf	3:70002150:0	Used by DragonSlayer Natsu, the son of a Dragon.	纳兹灭龙外套，龙之子纳兹专用。
table_text_all_data.rdf	3:7000231:0	Nika Smoke	尼卡烟雾
table_text_all_data.rdf	5:44982101:0	Krillin	克林
table_text_all_data.rdf	3:70002270:0	Featuring One Piece in EggHead	以《海贼王》为主题的背饰
table_text_all_data.rdf	3:99199921:0	军配团扇造型	宇智波团扇造型
table_text_all_data.rdf	3:111704270:0	黑星龙珠	六道求道玉
table_text_all_data.rdf	8:621:0	真属性防御上升%d%%	冰属性防御上升%d%%
table_text_all_data.rdf	8:622:0	奇属性防御上升%d%%	雷属性防御上升%d%%
table_text_all_data.rdf	8:623:0	猛属性防御上升%d%%	风属性防御上升%d%%
table_text_all_data.rdf	8:624:0	丽属性防御上升%d%%	水属性防御上升%d%%
table_text_all_data.rdf	8:625:0	乐属性防御上升%d%%	火属性防御上升%d%%
table_text_all_data.rdf	8:672:0	真属性攻击 %d%% 增加	冰属性攻击 %d%% 增加
table_text_all_data.rdf	8:673:0	奇属性攻击 %d%% 增加	雷属性攻击 %d%% 增加
table_text_all_data.rdf	8:674:0	猛属性攻击 %d%% 增加	风属性攻击 %d%% 增加
table_text_all_data.rdf	8:675:0	丽属性攻击 %d%% 增加	水属性攻击 %d%% 增加
table_text_all_data.rdf	8:676:0	乐属性攻击 %d%% 增加	火属性攻击 %d%% 增加
table_text_all_data.rdf	8:826:0	真属性防御减少%d%%	冰属性防御减少%d%%
table_text_all_data.rdf	8:827:0	奇属性防御减少%d%%	雷属性防御减少%d%%
table_text_all_data.rdf	8:828:0	猛属性防御减少%d%%	风属性防御减少%d%%
table_text_all_data.rdf	8:829:0	丽属性防御减少%d%%	水属性防御减少%d%%
table_text_all_data.rdf	8:830:0	乐属性防御减少%d%%	火属性防御减少%d%%
table_text_all_data.rdf	8:62101:0	真属性防御上升(%)	冰属性防御上升(%)
table_text_all_data.rdf	8:62201:0	奇属性防御上升(%)	雷属性防御上升(%)
table_text_all_data.rdf	8:62301:0	猛属性防御上升(%)	风属性防御上升(%)
table_text_all_data.rdf	8:62401:0	丽属性防御上升(%)	水属性防御上升(%)
table_text_all_data.rdf	8:62501:0	乐属性防御上升(%)	火属性防御上升(%)
table_text_all_data.rdf	8:67201:0	增加真属性防御(%)	增加冰属性防御(%)
table_text_all_data.rdf	8:67301:0	增加奇属性攻击(%)	增加雷属性攻击(%)
table_text_all_data.rdf	8:67401:0	增加猛属性攻击(%)	增加风属性攻击(%)
table_text_all_data.rdf	8:67501:0	增加丽属性攻击(%)	增加水属性攻击(%)
table_text_all_data.rdf	8:67601:0	增加要属性攻击(%)	增加火属性攻击(%)
table_text_all_data.rdf	8:62100000:0	真属性防御上升 %s。	冰属性防御上升 %s。
table_text_all_data.rdf	8:62100001:0	的真属性防御上升 %s。	的冰属性防御上升 %s。
table_text_all_data.rdf	8:62200000:0	奇属性防御上升 %s。	雷属性防御上升 %s。
table_text_all_data.rdf	8:62200001:0	的奇属性防御上升 %s。	的雷属性防御上升 %s。
table_text_all_data.rdf	8:62300000:0	猛属性防御上升 %s。	风属性防御上升 %s。
table_text_all_data.rdf	8:62300001:0	的猛属性防御上升 %s。	的风属性防御上升 %s。
table_text_all_data.rdf	8:62400000:0	丽属性防御上升 %s。	水属性防御上升 %s。
table_text_all_data.rdf	8:62400001:0	的丽属性防御上升 %s。	的水属性防御上升 %s。
